Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
12/27/2016,BRITANNIA,EQ,2807.3,2810.25,2856.85,2781.55,2821.95,2826.85,2824.84,78676,2.22247E+13,11720,34630,0.4402
12/28/2016,BRITANNIA,EQ,2826.85,2830,2888,2830,2846,2839.6,2860.05,123554,3.5337E+13,17006,66624,0.5392
12/29/2016,BRITANNIA,EQ,2839.6,2835,2898,2828.9,2877.4,2883.15,2866.23,90143,2.58371E+13,8816,51788,0.5745
12/30/2016,BRITANNIA,EQ,2883.15,2905,2922,2870,2883,2886.3,2901.9,110334,3.20178E+13,13373,59784,0.5418
1/2/2017,BRITANNIA,EQ,2886.3,2901.1,2901.1,2865.15,2890,2886.45,2876.68,52245,1.50292E+13,3552,22765,0.4357
1/3/2017,BRITANNIA,EQ,2886.45,2887,2890,2851.2,2875.05,2872.25,2864.24,127593,3.65457E+13,10866,77301,0.6058
1/4/2017,BRITANNIA,EQ,2872.25,2890,2890,2830.45,2856,2852.4,2852.98,136679,3.89942E+13,23677,61404,0.4493
1/5/2017,BRITANNIA,EQ,2852.4,2862,2875,2852.6,2870,2865.8,2861.04,116334,3.32836E+13,14949,82986,0.7133
1/6/2017,BRITANNIA,EQ,2865.8,2865,2915,2845.8,2910,2894.95,2869,397718,1.14105E+14,27915,340013,0.8549
1/9/2017,BRITANNIA,EQ,2894.95,2920,2922.3,2875.55,2890.25,2897.9,2907.74,172178,5.0065E+13,10418,125983,0.7317
1/10/2017,BRITANNIA,EQ,2897.9,2899,2903,2875.95,2878,2880.8,2887.18,273058,7.88368E+13,11894,243054,0.8901
1/11/2017,BRITANNIA,EQ,2880.8,2885,2985,2885,2984,2970.1,2921.58,345861,1.01046E+14,19596,235151,0.6799
1/12/2017,BRITANNIA,EQ,2970.1,2984.95,2994.95,2918.4,2959.8,2947.8,2960.4,130051,3.85003E+13,11736,71605,0.5506
1/13/2017,BRITANNIA,EQ,2947.8,2969,2985,2925,2931.15,2940,2953.39,104329,3.08124E+13,11056,54282,0.5203
1/16/2017,BRITANNIA,EQ,2940,2935,2979.8,2923,2957.5,2965.75,2960.54,106505,3.15312E+13,7906,58847,0.5525
1/17/2017,BRITANNIA,EQ,2965.75,2968.7,3020.2,2955.1,3003,3013.55,2990.28,164751,4.92651E+13,19526,91942,0.5581
1/18/2017,BRITANNIA,EQ,3013.55,3018,3098.7,3014.9,3085.05,3091.55,3056.46,269613,8.24061E+13,27860,146130,0.542
1/19/2017,BRITANNIA,EQ,3091.55,3091,3155,3066.75,3105.65,3107.95,3128.42,257575,8.05802E+13,11059,161263,0.6261
1/20/2017,BRITANNIA,EQ,3107.95,3117.9,3135.1,3064.1,3077,3078.3,3103.37,112993,3.50659E+13,10167,47013,0.4161
1/23/2017,BRITANNIA,EQ,3078.3,3065.2,3115,3065.2,3088.15,3093.1,3090.27,72041,2.22626E+13,7195,34525,0.4792
1/24/2017,BRITANNIA,EQ,3093.1,3096.3,3150.5,3081.65,3118,3148.35,3131.89,151846,4.75565E+13,18835,99401,0.6546
1/25/2017,BRITANNIA,EQ,3148.35,3125,3148,3098,3131,3134.9,3124.26,95008,2.96829E+13,9306,46751,0.4921
1/27/2017,BRITANNIA,EQ,3134.9,3134,3162,3091,3108.2,3102.95,3119.42,134715,4.20233E+13,16483,73438,0.5451
1/30/2017,BRITANNIA,EQ,3102.95,3128,3151.4,3100.2,3145,3145.7,3135.12,130271,4.08416E+13,10713,69910,0.5367
1/31/2017,BRITANNIA,EQ,3145.7,3150,3150,3109,3132,3130.45,3130.55,154940,4.85048E+13,18059,79755,0.5147
2/1/2017,BRITANNIA,EQ,3130.45,3133.7,3249.8,3112.75,3220,3234.75,3190.85,211287,6.74185E+13,18137,117126,0.5543
2/2/2017,BRITANNIA,EQ,3234.75,3240,3254.65,3189.7,3223,3231,3218.95,230894,7.43237E+13,18527,165209,0.7155
2/3/2017,BRITANNIA,EQ,3231,3223.1,3273.85,3210,3229.05,3230.85,3236.45,135664,4.3907E+13,13255,67892,0.5004
2/6/2017,BRITANNIA,EQ,3230.85,3230.85,3294.4,3230.85,3283,3285,3269.99,134152,4.38676E+13,14833,75710,0.5644
